# C I-VII ionisation fractions under collisional ionisation equilibrium. Extracted from CHIANTI database.
#  Temp          C I          C II         C III         C IV          C V          C VI         C VII
2.17140e+06  3.47679e-20  1.16318e-14  2.61164e-10  1.70259e-06  2.85618e-03  6.51343e-02  9.32008e-01
2.35315e+06  1.47415e-20  5.54689e-15  1.40286e-10  1.02817e-06  1.79700e-03  4.93983e-02  9.48804e-01
2.55010e+06  6.34767e-21  2.68367e-15  7.63495e-11  6.27538e-07  1.14843e-03  3.78661e-02  9.60985e-01
2.76354e+06  2.77552e-21  1.31717e-15  4.20977e-11  3.87184e-07  7.45360e-04  2.93493e-02  9.69905e-01
2.99484e+06  1.23185e-21  6.55579e-16  2.35082e-11  2.41459e-07  4.91048e-04  2.30005e-02  9.76508e-01
3.24551e+06  5.54653e-22  3.30719e-16  1.32886e-11  1.52162e-07  3.28178e-04  1.82197e-02  9.81452e-01
3.51715e+06  2.53197e-22  1.68996e-16  7.59983e-12  9.68597e-08  2.22340e-04  1.45821e-02  9.85195e-01
3.81153e+06  1.16996e-22  8.73355e-17  4.39079e-12  6.22295e-08  1.52591e-04  1.17855e-02  9.88062e-01
4.13055e+06  5.45418e-23  4.54971e-17  2.55459e-12  4.02389e-08  1.06004e-04  9.61348e-03  9.90280e-01
4.47627e+06  2.57208e-23  2.39560e-17  1.50085e-12  2.62471e-08  7.44871e-05  7.90996e-03  9.92016e-01
4.85092e+06  1.22620e-23  1.27415e-17  8.89933e-13  1.72629e-08  5.29053e-05  6.56126e-03  9.93386e-01
5.25694e+06  5.90620e-24  6.84154e-18  5.32298e-13  1.14435e-08  3.79563e-05  5.48383e-03  9.94478e-01
5.69693e+06  2.87262e-24  3.70667e-18  3.21014e-13  7.64271e-09  2.74893e-05  4.61573e-03  9.95357e-01
6.17376e+06  1.41012e-24  2.02536e-18  1.95111e-13  5.14075e-09  2.00860e-05  3.91060e-03  9.96069e-01
6.69049e+06  6.98291e-25  1.11561e-18  1.19468e-13  3.48135e-09  1.47993e-05  3.33343e-03  9.96652e-01
7.25047e+06  3.48684e-25  6.19212e-19  7.36686e-14  2.37290e-09  1.09899e-05  2.85755e-03  9.97131e-01
7.85733e+06  1.75498e-25  3.46196e-19  4.57327e-14  1.62740e-09  8.22153e-06  2.46249e-03  9.97529e-01
8.51497e+06  8.90029e-26  1.94900e-19  2.85723e-14  1.12272e-09  6.19332e-06  2.13237e-03  9.97861e-01
9.22766e+06  4.54563e-26  1.10430e-19  1.79564e-14  7.78901e-10  4.69597e-06  1.85483e-03  9.98140e-01
1.00000e+07  2.33101e-26  6.27850e-20  1.13177e-14  5.42112e-10  3.58250e-06  1.62013e-03  9.98376e-01
